EnsemblGeneID	EnsemblTranscriptID	EnsemblProteinID	Adrenal_iBAQ	Appendices_iBAQ	Brain_iBAQ	Colon_iBAQ	Duodenum_iBAQ	Endometrium_iBAQ	Esophagus_iBAQ	Fallopiantube_iBAQ	Fat_iBAQ	Gallbladder_iBAQ	Heart_iBAQ	Kidney_iBAQ	Liver_iBAQ	Lung_iBAQ	Lymphnode_iBAQ	Ovary_iBAQ	Pancreas_iBAQ	Placenta_iBAQ	Prostate_iBAQ	Rectum_iBAQ	Salivarygland_iBAQ	Smallintestine_iBAQ	Smoothmuscle_iBAQ	Spleen_iBAQ	Stomach_iBAQ	Testis_iBAQ	Thyroid_iBAQ	Tonsil_iBAQ	Urinarybladder_iBAQ
ENSG00000102804	ENST00000261489	ENSP00000261489	2428700	38707000	50856000	120390000	27208000	130730000	27202000	2510600	155310000	969870000	0	26165000	899070	1686300	7634100	293180000	104280000	56030000	476890	13705000	12771000	21629000	7138200	2595200	101850000	33663000	4113900	853900	18225000
ENSG00000102804	ENST00000458659	ENSP00000397435	28292000	7942500	367500000	28726000	82291000	93020000	57280000	57253000	6738800	52291000	0	13906000	16319000	16003000	24493000	26483000	752710	48059000	9245400	53905000	31493000	75867000	46502000	21042000	11957000	90400000	6546900	30586000	10419000
ENSG00000102805	ENST00000616833	ENSP00000479547	21621000	2168700	13208000	5751400	18014000	5624300	1682900	4600200	785340	8790300	2973900	7929400	7425300	7260500	4500300	7504400	9978900	3036100	5242300	8195400	4556100	15030000	865550	14941000	5533200	8841000	310480000	5588600	991490
ENSG00000102837	ENST00000219022	ENSP00000219022	5667000	34080000	122500	47115000	606620000	3942100	64257000	632360	11771000	33917000	331050	223990	4120200	6715500	3525000	6208900	28008000	7604600	5963600	4516200	13704000	187590000	1050400	61328000	1883100	1092300	463780	3378400	60336000
ENSG00000102854	ENST00000566549	ENSP00000456702	1388100	116520	0	486840	1695100	3956700	434270	99698000	6162500	10210000	879150	0	283760	1961800	781260	54697	29047000	2888800	1614400	2826700	2004100	178940	2973200	0	1261300	3744700	0	5059500	206190
ENSG00000102858	ENST00000399577	ENSP00000382487	1852600	73835	14963000	1290300	6264500	2019500	1175900	1249000	93602	610050	3702300	1050000	3658900	2159600	165920	1121700	858790	1681300	273860	2953100	40269	8438200	1349800	333430	904310	5515200	1284900	1573700	75353
ENSG00000102870	ENST00000262525	ENSP00000262525	783060	0	745820	0	7109900	438530	0	623670	0	0	0	274570	0	0	129380	1575200	0	0	0	203150	510320	461370	0	0	128670	0	815380	0	0
ENSG00000102871	ENST00000345057	ENSP00000341268	83063000	37203000	22988000	58024000	1397800000	679930000	1660700000	89037000	46130000	1791900000	3226100000	7310000	57324000	1.09e+08	371160000	51477000	11497000	295760000	172320000	2088700000	178450000	98596000	1036200000	36601000	107910000	91094000	18352000	91229000	160680000
ENSG00000102879	ENST00000570045	ENSP00000455552	403970000	845670000	878890000	393290000	1192700000	75510000	563750000	250940000	606230000	595100000	46248000	48608000	159020000	1353800000	4082800000	258210000	75889000	384850000	15874000	333720000	268920000	1555100000	102410000	2.611e+09	196240000	53650000	33751000	6375600000	444740000
ENSG00000102879	ENST00000569203	ENSP00000454752	0	8361500	0	656910	25107000	1062500	4795500	415890	4955500	8114600	0	0	0	88845000	67788000	1424500	0	0	186350	2949700	0	24082000	785340	209890000	0	0	0	0	4402800
ENSG00000102879	ENST00000570244	ENSP00000457332	147560	1679700	0	323360	15648000	515410	2562100	0	6453000	4627300	0	0	0	1126300	44134000	24228000	0	0	110270	1531000	0	5441500	0	40781000	0	0	0	360520	3906500
ENSG00000102882	ENST00000263025	ENSP00000263025	176720000	8870100	843940000	67286000	655040000	69353000	95750000	85957000	91390000	150940000	108800000	46785000	44475000	81400000	32845000	137450000	148730000	210080000	26023000	132850000	43024000	4.13e+08	78555000	112700000	82580000	117960000	62377000	107280000	33916000
ENSG00000102882	ENST00000484663	ENSP00000432742	545250	214850	0	1292600	3744900	698470	0	0	1415200	5600700	0	0	0	166590	2033200	1753100	1731100	5311700	176230	5327600	0	2087500	1406200	837150	406620	1092600	32932	0	205940
ENSG00000102882	ENST00000481230	ENSP00000433639	974980	1390100	0	5408500	4284200	6096900	3664900	3061600	3184900	9472900	5817500	0	0	2042300	0	527000	0	239630	0	5704500	0	0	3568500	5241000	6236000	2521600	0	0	6074700
ENSG00000102886	ENST00000406256	ENSP00000384363	8382800	728690	5444400	37313000	50045000	624790	15086000	814190	15088000	4959100	11998000	34558000	0	179190	0	9096500	1569500	63585000	528620	39725000	20312000	24397000	566060	2581300	74463000	516280	0	17615000	462090
ENSG00000102890	ENST00000393997	ENSP00000377566	473770	158710	526380	3701100	60185000	990100	4574400	7170300	2139400	5366500	88670000	9526200	3161300	3478300	0	12352000	1748800	17784000	1169400	3521500	11754000	16051000	2823500	254880	4833300	11829000	10034000	33760000	713620
ENSG00000102893	ENST00000566044	ENSP00000456729	30999000	2776600	105490000	7197300	26148000	13457000	11056000	15542000	8400800	68008000	81219000	11595000	122310000	33702000	11591000	11751000	18644000	23481000	6200600	12441000	21874000	35734000	8798400	14640000	9614800	30542000	9128300	32002000	6288900
ENSG00000102897	ENST00000567954	ENSP00000457333	1989700	2524700	3330400	44496000	6045200	250750	111610000	19446000	0	583150000	32309000	22828000	8903000	453040	0	37208000	0	4239800	762190	147470000	10433000	0	1345000	967480	312440	1883300	9874300	8233600	0
ENSG00000102898	ENST00000569436	ENSP00000457989	538290000	23244000	4.695e+09	3.7e+08	3046900000	1165700000	1961200000	729090000	520410000	1757500000	2250300000	543840000	1589200000	905830000	1184900000	1439300000	143350000	2380400000	170150000	1561600000	809140000	944560000	1.13e+09	451030000	400670000	5153700000	484680000	1193300000	271810000
ENSG00000102900	ENST00000308159	ENSP00000310668	26964000	6591700	55362000	36784000	266270000	43767000	72817000	49889000	303840000	97616000	24027000	20162000	117100000	130240000	53718000	54019000	42185000	222030000	7170500	53122000	34525000	55859000	26618000	56683000	19016000	125830000	23296000	114030000	12589000
ENSG00000102900	ENST00000569322	ENSP00000457907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661100	0	0	0	162630	0	0	0	0	0	0	0
ENSG00000102901	ENST00000564817	ENSP00000457294	1074700	524400	0	1152000	281800	182060	174420	944970	0	0	0	0	4734700	34271000	765660	856530	0	0	35086	1010300	0	0	0	0	474700	149850	0	54388	0
